"cod_ann","location","nature","type","title","link","price","date_modified","has_photo","is_professional","scrape_date"
"3426068","El Mourouj","Vente","App. 3 pi�c","Bel appartement 2�me �ta","Details_Annonces_Immobilier.asp?cod_ann=3426068&titre=Bel appartement 2�me �tage","140 000","14/11/2025","true","false","2025-11-14T15:42:41.590Z"
"3351642","Zone Hoteliere","Terrain","Terrain agr","Terrain 312 m  hammamet","Details_Annonces_Immobilier.asp?cod_ann=3351642&titre=Terrain 312 m  hammamet sud","78 000","14/11/2025","true","false","2025-11-14T15:42:42.453Z"
"3344834","Ghar El Melh","Vente","App. 2 pi�c","Appartments","Details_Annonces_Immobilier.asp?cod_ann=3344834&titre=Appartments","150 000","14/11/2025","true","false","2025-11-14T15:42:43.331Z"
"3331809","El Haouaria","Vente","Maisons","Villa sur plage elhaouaria","Details_Annonces_Immobilier.asp?cod_ann=3331809&titre=Villa sur plage elhaouaria","450 000","14/11/2025","false","false","2025-11-14T15:42:44.197Z"
"3435546","Oued Ellil","Vente","App. 3 pi�c","Appartements neufs f","Details_Annonces_Immobilier.asp?cod_ann=3435546&titre=Appartements neufs foprolos 2 � oued ellil","159 960","14/11/2025","true","true","2025-11-14T15:42:44.949Z"
"3359430","El Mourouj","Vente","Maisons","Maison dalila","Details_Annonces_Immobilier.asp?cod_ann=3359430&titre=Maison dalila","235 000","14/11/2025","true","false","2025-11-14T15:42:45.801Z"
"3435545","Riadh Landlous","Vente","App. 5 pi�c","Un spacieux s4 en excell","Details_Annonces_Immobilier.asp?cod_ann=3435545&titre=Un spacieux s4 en excellent �tat","435 000","14/11/2025","true","false","2025-11-14T15:42:46.635Z"
"3414173","Jardins de Cart","Location","App. 4 pi�c","S3 haut standing  au jar","Details_Annonces_Immobilier.asp?cod_ann=3414173&titre=S3 haut standing  au jardins de carthage","3 200","14/11/2025","true","false","2025-11-14T15:42:47.296Z"
"3387439","Jardins de Cart","Location","App. 4 pi�c","Un s3 au jardin de carth","Details_Annonces_Immobilier.asp?cod_ann=3387439&titre=Un s3 au jardin de carthage","2 800","14/11/2025","true","false","2025-11-14T15:42:48.255Z"
"3429053","Jardins de Cart","Location","App. 2 pi�c","Un superbe s1  au jardin","Details_Annonces_Immobilier.asp?cod_ann=3429053&titre=Un superbe s1  au jardins de carthage","1 600","14/11/2025","true","false","2025-11-14T15:42:49.105Z"
